time,cpu%,mem%,down
1,60,81.4,0
2,80,81.4,42.14882813
3,77.8,81.4,0
4,84.6,81.4,31.83984375
5,83.3,81.4,0.966601563
6,75,81.4,4.408203125
7,71.4,81.4,7.0265625
8,60,81.4,0
9,81.8,81.4,26.31640625
10,77.8,81.4,3.590234375
11,69.2,81.4,32.78007813
12,70,81.4,0
13,75,81.4,0
14,77.8,81.4,21.48867188
15,71.4,81.4,42.2921875
16,71.4,81.4,3.032617188
17,68.7,81.4,0.276171875
18,50,81.4,0
19,80,81.4,44.07675781
20,81.8,81.4,11.43476563
21,70,81.4,8.81640625
22,80,81.4,7.164648438
23,77.8,81.4,0
24,66.7,81.4,0
25,76.9,81.4,0
26,70,81.4,70.93496094
27,75,81.4,7.440820313
28,68.8,81.4,23.42714844
29,77.8,81.4,0
30,70,81.4,10.73710938
31,66.7,81.4,4.973046875
32,76.9,81.4,0
33,75,81.4,9.506835938
34,75,81.4,15.29648438
35,76.5,81.4,22.72617188
36,66.7,81.4,43.93867188
37,72.7,81.4,3.308789063
38,77.8,81.4,8.678320313
39,60,81.4,18.59414063
40,81.8,81.4,0
41,75,81.4,31.97792969
42,70,81.4,0
43,76.9,81.4,7.30859375
44,69.2,81.4,0
45,70,81.4,0
46,90,81.4,38.71367188
47,61.5,81.4,15.56679688
48,71.4,81.4,0
49,66.7,81.4,30.03417969
50,62.5,81.4,7.175195313
51,70,81.4,4.13203125
52,55.6,81.4,0
53,60,81.4,0
54,90.9,81.4,55.36816406
55,66.7,81.4,0
56,72.7,81.4,0
57,87.5,81.4,39.53046875
58,77.8,81.4,0
59,66.7,81.4,8.540234375
60,81.8,81.4,15.71542969
61,75,81.4,0
62,63.6,81.4,38.85585938
63,71.4,81.4,0
64,83.3,81.4,36.65761719
65,62.5,81.4,3.032617188
66,66.7,81.4,22.32246094
67,77.8,81.4,12.81035156
68,69.2,81.4,11.98710938
69,83.3,81.4,0
70,66.7,81.4,20.11337891
71,86.7,81.4,24.52714844
72,73.3,81.4,24.24511719
73,78.6,81.4,1.674609375
74,72.7,81.4,3.861132813
75,70,81.4,35.81269531
76,66.7,81.4,10.74433594
77,81.8,81.4,0.01171875
78,90.9,81.4,27.27246094
79,85.7,81.4,9.2359375
80,70,81.4,12.53945313
81,75,81.4,24.93554688
82,75,81.4,22.3171875
83,66.7,81.4,4.684375
84,88.9,81.4,34.71328125
85,63.6,81.4,0.55234375
86,62.5,81.4,11.02578125
87,72.7,81.4,9.506835938
88,83.3,81.4,25.21171875
89,76.9,81.4,27.134375
90,71.4,81.4,0
91,72.7,81.4,4.689648438
92,77.8,81.4,0
93,80,81.4,35.12226563
94,72.7,81.4,6.7609375
95,85.7,81.4,12.40195313
96,70,81.4,1.1046875
97,63.6,81.4,0
98,81.8,81.4,35.40371094
99,83.3,81.4,10.48398438
100,66.7,81.4,0
101,66.7,81.4,23.28378906
102,66.7,81.4,39.66855469
103,73.3,81.4,1.795117188
104,85.7,81.4,10.05917969
105,66.7,81.4,0
106,77.8,81.4,0
107,75,81.4,35.67460938
108,80,81.5,49.47382813
109,75,81.5,1.380859375
110,76.9,81.5,19.69882813
111,62.5,81.5,0.01171875
112,63.6,81.5,7.722265625
113,70,81.5,19.57177734
114,73.3,81.4,31.54785156
115,75,81.4,15.70488281
116,84.6,81.5,0.01171875
117,81.8,81.5,0
118,80,81.5,40.22617188
119,75,81.5,0
120,81.8,81.5,7.440820313
121,72.7,81.5,15.98105469
122,64.3,81.5,19.28457031
123,75,81.5,19.70410156
124,77.8,81.5,6.059960938
125,66.7,81.5,24.521875
126,75,81.5,10.88242188
127,81.8,81.5,25.7640625
128,72.7,81.5,7.31328125
129,66.7,81.5,17.52109375
130,75,81.5,0
131,85.7,81.5,32.80117188
132,75,81.5,5.7890625
133,76.9,81.5,31.54785156
134,78.6,81.5,15.8640625
135,70,81.5,10.90878906
136,75,81.5,3.584960938
137,55.6,81.5,2.89453125
138,70,81.5,8.81640625
139,69.2,81.5,23.14042969
140,88.9,81.5,25.34980469
141,66.7,81.5,12.9484375
142,66.7,81.5,12.11992188
143,66.7,81.5,15.56679688
144,66.7,81.5,0
145,80,81.5,0
146,75,81.5,0
147,75,81.5,66.53203125
148,75,81.5,34.17148438
149,72.7,81.5,0.276171875
150,81.8,81.5,13.36269531
151,70,81.5,18.73222656
152,76.9,81.5,6.888476563
153,76.9,81.5,9.506835938
154,75,81.5,14.88222656
155,69.2,81.5,9.78828125
156,71.4,81.5,16.67148438
157,70,81.5,0
158,66.7,81.5,53.72695313
159,70,81.5,0
160,75,81.5,0
161,66.7,81.5,19.15175781
162,70,81.5,12.25800781
163,70,81.5,0
164,70,81.5,11.43476563
165,85.7,81.5,16.11386719
166,70,81.5,45.18144531
167,81.8,81.5,6.631054688
168,66.7,81.5,0
169,76.9,81.5,14.60019531
170,66.7,81.5,36.77402344
171,69.2,81.5,0
172,76.9,81.5,14.74941406
173,66.7,81.5,0.828515625
174,66.7,81.5,15.70488281
175,80,81.5,41.45839844
176,69.2,81.5,30.46015625
177,66.7,81.5,1.795117188
178,75,81.5,0
179,81.8,81.5,0
180,85.7,81.5,19.83691406
181,62.5,81.5,0
182,88.9,81.5,35.67460938
183,66.7,81.5,46.71679688
184,69.2,81.5,0.414257813
185,70,81.5,10.74433594
186,69.2,81.5,0
187,66.7,81.5,12.13105469
188,81.8,81.5,36.2375
189,63.6,81.5,0
190,71.4,81.5,0
191,80,81.5,34.1609375
192,80,81.5,9.092578125
193,80,81.5,8.269335938
194,77.8,81.5,18.87558594
195,60,81.5,0
196,75,81.5,24.66464844
197,60,81.5,15.16308594
198,66.7,81.5,19.29042969
199,72.7,81.5,24.52128906
200,75,81.5,0
201,80,81.5,12.81035156
202,80,81.5,13.50078125
203,77.8,81.5,8.540234375
204,76.9,81.5,11.29667969
205,80,81.5,9.512109375
206,70,81.5,0
207,70,81.5,54.55546875
208,75,81.5,0
209,72.7,81.5,21.62675781
210,76.9,81.5,10.88242188
211,80,81.5,7.993164063
212,66.7,81.5,12.57587891
213,81.8,81.5,40.24257813
214,81.8,81.5,0
215,70,81.5,3.861132813
216,62.5,81.5,0
217,63.6,81.5,34.16289063
218,85.7,81.5,4.95859375
219,90,81.5,0
220,72.7,81.5,19.28457031
221,62.5,81.5,6.750390625
222,70,81.5,26.86347656
223,66.7,81.5,0
224,70,81.5,22.04628906
225,72.7,81.5,0
226,63.6,81.5,0
227,71.4,81.5,0
228,80,81.6,34.98417969
229,72.7,81.6,23.56054688
230,77.8,81.6,0.009082031
