time,cpu%,mem%,down,Label
1,1.4,41.6,0.0,without
2,1.2,41.6,0.0,without
3,1.2,41.6,0.0,without
4,1.9,41.6,0.0,without
5,1.3,41.7,0.0,without
6,1.4,41.7,0.0,without
7,0.6,41.6,0.005859375,without
8,1.2,41.6,0.0,without
9,1.2,41.6,0.0,without
10,1.8,41.6,0.0,without
11,2.9,41.6,0.0,without
12,1.2,41.7,0.0,without
13,1.4,41.7,0.0,without
14,1.4,41.6,0.0,without
15,1.2,41.6,0.0,without
16,1.3,41.6,0.0,without
17,1.7,41.6,0.0,without
18,2.5,41.7,0.0,without
19,1.2,41.7,0.0,without
20,1.2,41.6,0.0,without
21,1.3,41.6,0.0,without
22,0.6,41.6,0.005859375,without
23,1.9,41.6,0.0,without
24,4.4,41.6,0.0107421875,without
25,1.4,41.6,0.0,without
26,1.2,41.6,0.0,without
27,1.2,41.6,0.0,without
28,1.2,41.6,0.0,without
29,1.2,41.6,0.0,without
30,1.9,41.6,0.0,without
31,2.1,41.6,0.0,without
32,1.3,41.6,0.0,without
33,1.2,41.6,0.0,without
34,1.2,41.6,0.0,without
35,1.7,41.6,0.0,without
36,1.3,41.6,0.0,without
37,1.8,41.6,0.0,without
38,1.3,41.6,0.01416015625,without
39,1.8,41.6,0.0,without
40,1.3,41.6,0.0,without
41,1.2,41.6,0.0,without
42,1.3,41.6,0.0,without
43,0.7,41.6,0.0,without
44,1.4,41.6,0.0,without
45,1.4,41.6,0.0,without
46,1.2,41.6,0.0,without
47,1.2,41.6,0.0,without
48,1.2,41.6,0.0,without
49,1.2,41.6,0.0,without
50,1.2,41.6,0.0107421875,without
51,1.9,41.6,0.0,without
52,1.4,41.6,0.0,without
53,1.2,41.6,0.0,without
54,1.7,41.6,0.0,without
55,1.4,41.6,0.0,without
56,1.2,41.6,0.0,without
57,1.4,41.6,0.0,without
58,1.4,41.7,0.0,without
59,1.8,41.6,0.0,without
60,1.2,41.6,0.0,without
61,0.0,41.6,0.0,without
62,1.3,41.6,0.0,without
63,2.0,41.6,0.0,without
64,1.2,41.6,0.0,without
65,2.5,41.6,0.0,without
66,0.7,41.6,0.0,without
67,1.3,41.6,0.0,without
68,1.2,41.6,0.0,without
69,1.2,41.6,0.0,without
70,1.2,41.6,0.0,without
71,0.6,41.6,0.0,without
72,1.4,41.6,0.0,without
73,1.3,41.6,0.0,without
74,1.2,41.6,0.0,without
75,1.7,41.6,0.0,without
76,1.2,41.6,0.0,without
77,1.3,41.6,0.0107421875,without
78,1.2,41.6,0.0,without
79,0.7,41.6,0.0,without
80,1.2,41.6,0.0,without
81,1.9,41.6,0.0,without
82,2.0,41.6,0.0,without
83,3.1,41.6,0.0,without
84,0.6,41.6,0.0,without
85,1.9,41.6,0.01904296875,without
86,1.4,41.6,0.0,without
87,1.2,41.6,0.0,without
88,1.9,41.6,0.0,without
89,1.4,41.6,0.0,without
90,1.4,41.6,0.0,without
91,1.2,41.6,0.0,without
92,2.8,41.6,0.0,without
93,1.7,41.6,0.0,without
94,1.2,41.6,0.0,without
95,2.1,41.6,0.0,without
96,0.6,41.6,0.0,without
97,1.3,41.6,0.0,without
98,1.2,41.6,0.0,without
99,2.0,41.6,0.0076171875,without
100,1.9,41.6,0.0,without
101,0.7,41.6,0.0,without
102,1.2,41.6,0.0,without
103,1.4,41.6,0.0,without
104,1.2,41.6,0.0,without
105,1.2,41.6,0.0,without
106,2.0,41.6,0.0107421875,without
107,1.3,41.6,0.0,without
108,1.3,41.6,0.0,without
109,1.9,41.6,0.0,without
110,0.6,41.6,0.0,without
111,1.4,41.6,0.0,without
112,2.5,41.6,0.0,without
113,1.9,41.6,0.0,without
114,1.2,41.6,0.0,without
115,2.1,41.6,0.0,without
116,1.7,41.6,0.0,without
117,1.2,41.6,0.0,without
118,1.3,41.6,0.0,without
119,1.8,41.6,0.0,without
120,1.2,41.6,0.0,without
121,1.9,41.6,0.0,without
122,0.7,41.6,0.0,without
123,1.2,41.6,0.0,without
124,1.3,41.6,0.0,without
125,0.7,41.6,0.0,without
126,2.4,41.6,0.0,without
127,1.2,41.6,0.0,without
128,1.9,41.6,0.0,without
129,1.4,41.6,0.0,without
130,1.2,41.6,0.0,without
131,6.2,41.6,0.0,without
132,5.0,41.6,0.0,without
133,1.9,41.6,0.0107421875,without
134,1.2,41.6,0.0,without
135,1.4,41.6,0.0,without
136,1.2,41.6,0.0,without
137,1.1,41.6,0.0,without
138,1.3,41.6,0.0,without
139,1.9,41.6,0.0,without
140,1.4,41.6,0.0,without
141,1.2,41.6,0.0,without
142,1.4,41.6,0.0,without
143,1.4,41.6,0.0,without
144,6.8,41.8,0.0,without
145,7.5,41.7,0.0,without
146,3.8,41.8,0.0,without
147,0.7,41.7,0.0,without
148,1.4,41.7,0.0,without
149,1.3,41.7,0.0,without
150,1.9,41.7,0.0,without
151,1.4,41.7,0.0,without
152,1.3,41.7,0.0,without
153,2.0,41.7,0.0,without
154,1.4,41.7,0.0107421875,without
155,1.2,41.7,0.0,without
156,1.1,41.7,0.0,without
157,2.8,41.7,0.0,without
158,3.8,41.7,0.0,without
159,3.1,41.7,0.0,without
160,1.9,41.7,0.0,without
161,1.2,41.6,0.0,without
162,1.3,41.6,0.0,without
163,1.4,41.7,0.0,without
164,1.7,41.7,0.0,without
165,2.1,41.7,0.0,without
166,1.9,41.7,0.0,without
167,2.5,41.7,0.0,without
168,1.9,41.7,0.0,without
169,5.7,41.8,0.0,without
170,3.1,41.7,0.52197265625,without
171,3.1,41.7,0.0,without
172,2.1,41.7,0.0,without
173,2.0,41.7,0.0,without
174,1.9,41.7,0.0,without
175,3.5,41.7,0.0,without
176,5.0,41.8,0.0,without
177,4.3,41.9,0.0,without
178,2.1,41.9,0.0,without
179,4.4,41.9,0.0,without
180,2.1,41.8,0.0,without
181,1.2,41.8,0.0107421875,without
182,1.4,41.8,0.0,without
183,1.4,41.9,0.0,without
184,1.2,41.9,0.0,without
185,1.4,41.9,0.0,without
186,2.1,41.9,0.0,without
187,2.0,41.9,0.0,without
188,2.5,41.9,0.0,without
189,1.4,41.9,0.0,without
190,2.9,41.9,0.0,without
191,4.7,41.9,0.0,without
192,1.4,41.9,0.0,without
193,1.3,41.9,0.0,without
194,2.5,41.9,0.0,without
195,2.1,41.9,0.0,without
196,2.3,41.9,0.0,without
197,2.8,41.9,0.0,without
198,0.6,41.9,0.0,without
199,4.0,42.0,0.0,without
200,4.1,42.1,0.0,without
201,3.2,42.3,0.0,without
202,4.4,42.4,0.0,without
203,3.1,42.5,0.0,without
204,5.7,42.6,0.0,without
205,3.6,42.6,0.0,without
206,1.4,42.6,0.0,without
207,1.8,42.6,0.0,without
208,0.7,42.6,0.0107421875,without
209,2.1,42.6,0.0,without
210,1.2,42.6,0.0,without
211,1.3,42.6,0.0,without
212,2.7,42.6,0.0,without
213,1.7,42.6,0.0,without
214,2.8,42.6,0.0,without
215,1.2,42.6,0.0,without
216,1.3,42.6,0.0,without
217,1.9,42.6,0.0,without
218,1.4,42.6,0.0,without
219,1.7,42.6,0.0,without
220,1.8,42.5,0.0,without
221,1.4,42.5,0.0,without
222,1.2,42.5,0.0,without
223,1.3,42.6,0.0,without
224,1.2,42.6,0.0,without
225,1.2,42.5,0.0,without
226,2.8,42.5,0.0,without
227,0.6,42.5,0.0,without
228,1.9,42.5,0.0,without
229,1.9,42.6,0.0,without
230,1.9,42.6,0.0,without
231,1.4,42.6,0.0,without
232,1.4,42.6,0.005859375,without
233,1.9,42.6,0.0,without
234,1.9,42.5,0.0,without
235,1.9,42.5,0.0,without
236,2.5,42.6,0.03076171875,without
237,1.4,42.6,0.0,without
238,1.2,42.6,0.0,without
239,1.9,42.6,0.0,without
240,3.7,42.5,0.0,without
241,14.0,42.7,0.0,without
242,13.1,41.7,0.0,without
243,6.2,41.6,0.0,without
244,2.5,41.5,0.0,without
245,4.4,41.5,0.0,without
246,2.8,41.6,0.0,without
247,1.2,41.6,0.0,without
248,2.8,41.6,0.0,without
249,1.2,41.6,0.0,without
250,1.2,41.6,0.0,without
251,1.2,41.6,0.0,without
252,2.3,41.5,0.0,without
253,1.4,41.6,0.0,without
254,1.9,41.6,0.0,without
255,0.7,41.6,0.0,without
256,1.2,41.6,0.0,without
257,0.6,41.6,0.0,without
258,1.9,41.6,0.0298828125,without
259,6.1,41.7,0.017578125,without
260,2.9,41.7,0.0166015625,without
261,1.4,41.7,0.0,without
262,1.2,41.7,0.0,without
263,1.2,41.7,0.0,without
264,1.9,41.7,0.0,without
265,1.9,41.7,0.46552734375,without
266,1.4,41.7,0.0,without
267,2.1,41.7,0.0,without
268,3.1,41.8,0.0,without
269,7.1,41.7,0.0,without
270,1.3,41.7,0.0,without
271,0.6,41.7,0.0,without
272,1.3,41.7,0.0,without
273,4.1,41.8,0.0,without
274,2.4,41.7,0.0,without
275,1.3,41.8,0.0,without
276,2.3,41.8,0.0,without
277,1.8,41.7,0.0,without
278,2.1,41.7,0.0,without
279,0.7,41.7,0.0064453125,without
280,1.4,41.8,0.0,without
281,1.9,42.0,0.01904296875,without
282,7.5,42.1,0.0,without
